iter	Passed	Remaining
0	10	5442
1	20	5169
2	31	5136
3	42	5214
4	53	5305
5	63	5249
6	74	5231
7	84	5190
8	94	5150
9	105	5154
10	115	5119
11	125	5120
12	136	5112
13	146	5077
14	156	5054
15	166	5022
16	175	4986
17	185	4969
18	196	4962
19	205	4934
20	215	4910
21	225	4888
22	234	4868
23	245	4872
24	255	4848
25	264	4820
26	274	4808
27	284	4797
28	294	4784
29	307	4817
30	319	4830
31	329	4814
32	338	4790
33	347	4768
34	357	4749
35	367	4740
36	377	4727
37	388	4719
38	398	4708
39	408	4695
40	418	4680
41	427	4666
42	437	4651
43	446	4629
44	455	4605
45	465	4595
46	475	4582
47	485	4571
48	498	4587
49	508	4575
50	517	4552
51	526	4538
52	536	4521
53	545	4504
54	554	4484
55	563	4464
56	573	4455
57	582	4438
58	591	4420
59	600	4403
60	609	4383
61	618	4367
62	627	4352
63	637	4340
64	645	4323
65	655	4309
66	664	4296
67	673	4281
68	682	4265
69	692	4253
70	701	4239
71	710	4226
72	720	4212
73	729	4201
74	738	4186
75	747	4171
76	757	4158
77	766	4147
78	775	4134
79	785	4123
80	794	4109
81	803	4097
82	812	4083
83	821	4069
84	830	4056
85	839	4041
86	848	4027
87	856	4012
88	865	3998
89	874	3984
90	883	3971
91	892	3960
92	901	3946
93	911	3935
94	920	3922
95	928	3908
96	938	3900
97	949	3895
98	959	3886
99	968	3873
100	977	3862
101	987	3852
102	996	3840
103	1006	3831
104	1015	3821
105	1024	3808
106	1033	3796
107	1042	3782
108	1051	3770
109	1059	3758
110	1069	3746
111	1077	3733
112	1087	3723
113	1098	3718
114	1107	3707
115	1116	3697
116	1125	3685
117	1135	3674
118	1144	3664
119	1154	3655
120	1163	3643
121	1172	3632
122	1181	3620
123	1191	3611
124	1200	3602
125	1209	3590
126	1218	3579
127	1228	3569
128	1237	3558
129	1247	3549
130	1255	3537
131	1264	3525
132	1273	3514
133	1282	3504
134	1292	3493
135	1301	3483
136	1310	3472
137	1319	3462
138	1328	3451
139	1338	3440
140	1347	3431
141	1356	3421
142	1368	3416
143	1378	3407
144	1388	3399
145	1398	3390
146	1407	3379
147	1416	3369
148	1426	3359
149	1435	3349
150	1444	3338
151	1453	3327
152	1462	3316
153	1471	3305
154	1481	3296
155	1491	3288
156	1500	3277
157	1509	3268
158	1518	3257
159	1528	3247
160	1541	3245
161	1556	3247
162	1573	3252
163	1585	3248
164	1597	3242
165	1608	3235
166	1618	3227
167	1627	3215
168	1637	3206
169	1646	3196
170	1655	3186
171	1665	3175
172	1673	3163
173	1683	3153
174	1692	3142
175	1701	3132
176	1710	3122
177	1720	3112
178	1729	3100
179	1738	3091
180	1748	3081
181	1757	3071
182	1766	3059
183	1775	3048
184	1784	3038
185	1794	3030
186	1816	3040
187	1826	3031
188	1836	3022
189	1845	3011
190	1855	3001
191	1864	2991
192	1874	2981
193	1883	2971
194	1893	2961
195	1902	2950
196	1912	2941
197	1921	2930
198	1930	2920
199	1939	2909
200	1948	2898
201	1958	2889
202	1967	2878
203	1976	2868
204	1985	2857
205	1994	2846
206	2003	2836
207	2013	2827
208	2022	2816
209	2032	2806
210	2041	2796
211	2050	2785
212	2059	2775
213	2068	2764
214	2077	2754
215	2088	2745
216	2098	2736
217	2107	2726
218	2116	2715
219	2125	2705
220	2134	2694
221	2143	2684
222	2152	2673
223	2161	2662
