iter	Passed	Remaining
0	5	1420
1	12	1544
2	17	1447
3	26	1641
4	33	1639
5	43	1759
6	48	1670
7	55	1680
8	60	1613
9	64	1556
10	71	1562
11	76	1526
12	82	1507
13	90	1533
14	96	1504
15	102	1497
16	107	1469
17	111	1442
18	122	1490
19	129	1485
20	137	1504
21	143	1482
22	147	1459
23	153	1447
24	158	1428
25	163	1406
26	169	1397
27	173	1375
28	179	1365
29	187	1376
30	192	1359
31	199	1360
32	204	1345
33	209	1331
34	215	1326
35	220	1308
36	224	1291
37	234	1306
38	238	1291
39	243	1276
40	250	1277
41	255	1264
42	262	1261
43	267	1250
44	271	1238
45	281	1249
46	286	1237
47	290	1224
48	300	1232
49	305	1220
50	312	1217
51	316	1206
52	321	1196
53	331	1203
54	336	1191
55	342	1186
56	347	1176
57	350	1160
58	355	1149
59	362	1147
60	367	1138
61	375	1138
62	381	1132
63	386	1122
64	392	1117
65	397	1109
66	401	1097
67	411	1101
68	417	1095
69	425	1093
70	429	1083
71	434	1073
72	444	1077
73	448	1066
74	456	1064
75	461	1056
76	467	1049
77	475	1048
78	480	1039
79	488	1038
80	494	1031
81	499	1023
82	506	1018
83	511	1009
84	516	1001
85	521	995
86	527	987
87	535	986
88	541	978
89	546	971
90	553	966
91	558	958
92	565	954
93	571	948
94	576	939
95	585	939
96	590	931
97	595	923
98	601	917
99	606	909
100	614	906
101	618	898
102	623	889
103	633	889
104	638	881
105	644	876
106	649	867
107	654	860
108	661	855
109	667	849
110	672	841
111	681	839
112	685	831
113	690	824
114	697	819
115	702	811
116	710	807
117	715	800
118	720	792
119	726	786
120	730	778
121	734	770
122	741	765
123	746	758
124	751	751
125	760	748
126	765	741
127	773	737
128	779	730
129	783	723
130	791	719
131	797	712
132	801	705
133	811	702
134	816	695
135	823	690
136	828	683
137	833	676
138	840	671
139	845	663
140	849	656
141	858	653
142	863	646
143	872	641
144	877	635
145	881	628
146	891	624
147	896	617
148	902	612
149	907	605
150	912	598
151	921	594
152	926	587
153	931	580
154	937	574
155	942	567
156	948	561
157	953	555
158	958	548
159	965	542
160	970	536
161	975	529
162	983	525
163	988	518
164	993	511
165	1000	506
166	1005	499
167	1013	494
168	1020	489
169	1025	482
170	1032	477
171	1037	470
172	1045	465
173	1049	458
174	1054	451
175	1069	449
176	1074	443
177	1082	438
178	1087	431
179	1093	425
180	1098	418
181	1103	412
182	1111	406
183	1115	400
184	1120	393
185	1127	387
186	1131	381
187	1136	374
188	1143	369
189	1148	362
190	1153	356
191	1162	351
192	1167	344
193	1176	339
194	1181	333
195	1186	326
196	1195	321
197	1200	315
198	1208	309
199	1213	303
200	1218	297
201	1225	291
202	1229	284
203	1235	278
204	1245	273
205	1249	266
206	1255	260
207	1260	254
208	1264	248
209	1270	241
210	1274	235
211	1278	229
212	1281	222
213	1287	216
214	1290	210
215	1294	203
216	1297	197
217	1307	191
218	1312	185
219	1319	179
220	1323	173
221	1327	167
222	1332	161
223	1336	155
224	1340	148
225	1344	142
226	1351	136
227	1356	130
228	1360	124
229	1366	118
230	1371	112
231	1376	106
232	1382	100
233	1386	94
234	1389	88
235	1393	82
236	1402	76
237	1406	70
238	1411	64
239	1416	59
240	1419	53
241	1423	47
242	1429	41
243	1433	35
244	1436	29
245	1440	23
246	1447	17
247	1451	11
248	1455	5
249	1461	0
